year,state,cause name,death
2007,Hawaii,others,2596
2006,Hawaii,others,2590
2005,Hawaii,others,2329
2004,Hawaii,others,2193
2003,Hawaii,others,2076
2002,Hawaii,others,2027
2001,Hawaii,others,1881
2000,Hawaii,others,1797
1999,Hawaii,others,1781
2016,Idaho,others,3387
2015,Idaho,others,3436
2014,Idaho,others,3476
2013,Idaho,others,3584
2012,Idaho,others,3489
2011,Idaho,others,3321
2010,Idaho,others,2934
2009,Idaho,others,2782
2008,Idaho,others,2780
2007,Idaho,others,2705
2006,Idaho,others,2560
2005,Idaho,others,2364
2004,Idaho,others,2223
2003,Idaho,others,2164
2002,Idaho,others,2118
2001,Idaho,others,2085
2000,Idaho,others,1992
1999,Idaho,others,1870
2016,Illinois,others,28051
2015,Illinois,others,27652
2014,Illinois,others,27626
2013,Illinois,others,26811
2012,Illinois,others,26488
2011,Illinois,others,26345
2010,Illinois,others,24889
2009,Illinois,others,24502
2008,Illinois,others,25001
2007,Illinois,others,23823
2006,Illinois,others,24140
2005,Illinois,others,23699
2004,Illinois,others,22942
2003,Illinois,others,23483
2002,Illinois,others,23055
2001,Illinois,others,22348
2000,Illinois,others,21990
1999,Illinois,others,22013
2016,Indiana,others,17270
2015,Indiana,others,16828
2014,Indiana,others,16121
2013,Indiana,others,16050
2012,Indiana,others,15446
2011,Indiana,others,14615
2010,Indiana,others,13699
2009,Indiana,others,13054
2008,Indiana,others,13258
2007,Indiana,others,12323
2006,Indiana,others,12632
2005,Indiana,others,12374
2004,Indiana,others,11720
2003,Indiana,others,11899
2002,Indiana,others,11719
2001,Indiana,others,11531
2000,Indiana,others,11060
1999,Indiana,others,10616
2016,Iowa,others,7598
2015,Iowa,others,7505
2014,Iowa,others,7572
2013,Iowa,others,7145
2012,Iowa,others,6934
2011,Iowa,others,6759
2010,Iowa,others,6600
2009,Iowa,others,6344
2008,Iowa,others,6378
2007,Iowa,others,6055
2006,Iowa,others,6016
2005,Iowa,others,5826
2004,Iowa,others,5476
2003,Iowa,others,5595
2002,Iowa,others,5275
2001,Iowa,others,5343
2000,Iowa,others,5346
1999,Iowa,others,5280
2016,Kansas,others,7477
2015,Kansas,others,7603
2014,Kansas,others,7220
2013,Kansas,others,7189
2012,Kansas,others,6847
2011,Kansas,others,6910
2010,Kansas,others,6417
2009,Kansas,others,6173
2008,Kansas,others,6297
2007,Kansas,others,5994
2006,Kansas,others,5974
2005,Kansas,others,5776
2004,Kansas,others,5442
2003,Kansas,others,5451
2002,Kansas,others,5548
2001,Kansas,others,5320
2000,Kansas,others,5424
1999,Kansas,others,5284
2016,Kentucky,others,12323
2015,Kentucky,others,11939
2014,Kentucky,others,11266
2013,Kentucky,others,10753
2012,Kentucky,others,10416
2011,Kentucky,others,9962
2010,Kentucky,others,9659
2009,Kentucky,others,9458
2008,Kentucky,others,9144
2007,Kentucky,others,8508
2006,Kentucky,others,8540
2005,Kentucky,others,7952
2004,Kentucky,others,7629
2003,Kentucky,others,7635
2002,Kentucky,others,7651
2001,Kentucky,others,7402
2000,Kentucky,others,7330
1999,Kentucky,others,7317
2016,Louisiana,others,10892
2015,Louisiana,others,10766
2014,Louisiana,others,11298
2013,Louisiana,others,11383
2012,Louisiana,others,11261
2011,Louisiana,others,10546
2010,Louisiana,others,10114
2009,Louisiana,others,9808
2008,Louisiana,others,9973
2007,Louisiana,others,9680
2006,Louisiana,others,9645
2005,Louisiana,others,10863
2004,Louisiana,others,9981
2003,Louisiana,others,9816
2002,Louisiana,others,9629
2001,Louisiana,others,9218
2000,Louisiana,others,9021
1999,Louisiana,others,8778
2016,Maine,others,3764
2015,Maine,others,3899
2014,Maine,others,3762
2013,Maine,others,3818
2012,Maine,others,3500
2011,Maine,others,3478
2010,Maine,others,3353
2009,Maine,others,3181
2008,Maine,others,3069
2007,Maine,others,3032
2006,Maine,others,2866
2005,Maine,others,2969
2004,Maine,others,2687
2003,Maine,others,2620
2002,Maine,others,2561
2001,Maine,others,2485
2000,Maine,others,2388
1999,Maine,others,2290
2016,Maryland,others,14501
2015,Maryland,others,13814
2014,Maryland,others,13306
2013,Maryland,others,13161
2012,Maryland,others,12575
2011,Maryland,others,12488
2010,Maryland,others,11970
2009,Maryland,others,11980
2008,Maryland,others,12053
2007,Maryland,others,12094
2006,Maryland,others,11815
2005,Maryland,others,11403
2004,Maryland,others,11046
2003,Maryland,others,11323
2002,Maryland,others,10867
2001,Maryland,others,10698
2000,Maryland,others,10541
1999,Maryland,others,10494
2016,Massachusetts,others,17353
2015,Massachusetts,others,17843
2014,Massachusetts,others,16792
2013,Massachusetts,others,16142
2012,Massachusetts,others,15582
2011,Massachusetts,others,15513
2010,Massachusetts,others,14517
2009,Massachusetts,others,13806
2008,Massachusetts,others,13942
2007,Massachusetts,others,13569
2006,Massachusetts,others,13169
2005,Massachusetts,others,13147
2004,Massachusetts,others,13520
2003,Massachusetts,others,13742
2002,Massachusetts,others,13748
2001,Massachusetts,others,13651
2000,Massachusetts,others,12899
1999,Massachusetts,others,12405
2016,Michigan,others,22550
2015,Michigan,others,22706
2014,Michigan,others,22415
2013,Michigan,others,22852
2012,Michigan,others,22254
2011,Michigan,others,21845
2010,Michigan,others,20807
2009,Michigan,others,20306
2008,Michigan,others,20064
2007,Michigan,others,19663
2006,Michigan,others,19127
2005,Michigan,others,18731
2004,Michigan,others,18090
2003,Michigan,others,18331
2002,Michigan,others,18125
2001,Michigan,others,17581
2000,Michigan,others,17686
1999,Michigan,others,17534
2016,Minnesota,others,12787
2015,Minnesota,others,12751
2014,Minnesota,others,12452
2013,Minnesota,others,12235
2012,Minnesota,others,11981
2011,Minnesota,others,11749
2010,Minnesota,others,11303
2009,Minnesota,others,10614
2008,Minnesota,others,10796
2007,Minnesota,others,10250
2006,Minnesota,others,10164
2005,Minnesota,others,9880
2004,Minnesota,others,9498
2003,Minnesota,others,9471
2002,Minnesota,others,9538
2001,Minnesota,others,9152
2000,Minnesota,others,8848
1999,Minnesota,others,8898
2016,Mississippi,others,7184
2015,Mississippi,others,7410
2014,Mississippi,others,7494
2013,Mississippi,others,7630
2012,Mississippi,others,7278
2011,Mississippi,others,7094
2010,Mississippi,others,6740
2009,Mississippi,others,6505
2008,Mississippi,others,6584
2007,Mississippi,others,6313
2006,Mississippi,others,6342
2005,Mississippi,others,6390
2004,Mississippi,others,5958
2003,Mississippi,others,6027
2002,Mississippi,others,5808
2001,Mississippi,others,5618
2000,Mississippi,others,5580
1999,Mississippi,others,5266
2016,Missouri,others,14367
2015,Missouri,others,14304
2014,Missouri,others,13747
2013,Missouri,others,13560
2012,Missouri,others,13166
2011,Missouri,others,13123
2010,Missouri,others,12522
2009,Missouri,others,11987
2008,Missouri,others,12563
2007,Missouri,others,11757
2006,Missouri,others,11813
2005,Missouri,others,11389
2004,Missouri,others,11009
2003,Missouri,others,11172
2002,Missouri,others,11317
2001,Missouri,others,10890
2000,Missouri,others,10557
1999,Missouri,others,10497
2016,Montana,others,2754
2015,Montana,others,2760
2014,Montana,others,2571
2013,Montana,others,2660
2012,Montana,others,2541
2011,Montana,others,2464
2010,Montana,others,2354
2009,Montana,others,2297
2008,Montana,others,2257
2007,Montana,others,2165
2006,Montana,others,2097
2005,Montana,others,2011
2004,Montana,others,1879
2003,Montana,others,1921
2002,Montana,others,1873
2001,Montana,others,1736
2000,Montana,others,1717
1999,Montana,others,1648
2016,Nebraska,others,4799
2015,Nebraska,others,4851
2014,Nebraska,others,4666
2013,Nebraska,others,4546
2012,Nebraska,others,4501
2011,Nebraska,others,4456
2010,Nebraska,others,4028
2009,Nebraska,others,3958
2008,Nebraska,others,4095
2007,Nebraska,others,3985
2006,Nebraska,others,3808
2005,Nebraska,others,3605
2004,Nebraska,others,3463
2003,Nebraska,others,3707
2002,Nebraska,others,3515
2001,Nebraska,others,3388
2000,Nebraska,others,3200
1999,Nebraska,others,3312
2016,Nevada,others,5205
2015,Nevada,others,4917
2014,Nevada,others,4800
2013,Nevada,others,5350
2012,Nevada,others,5366
2011,Nevada,others,5231
2010,Nevada,others,5078
2009,Nevada,others,4766
2008,Nevada,others,4856
2007,Nevada,others,4753
2006,Nevada,others,4667
2005,Nevada,others,4403
2004,Nevada,others,4093
2003,Nevada,others,4116
2002,Nevada,others,3800
2001,Nevada,others,3641
2000,Nevada,others,3298
1999,Nevada,others,3193
2016,New Hampshire,others,3245
2015,New Hampshire,others,3226
2014,New Hampshire,others,3180
2013,New Hampshire,others,2904
2012,New Hampshire,others,2808
2011,New Hampshire,others,2792
2010,New Hampshire,others,2535
2009,New Hampshire,others,2469
2008,New Hampshire,others,2369
2007,New Hampshire,others,2344
2006,New Hampshire,others,2277
2005,New Hampshire,others,2217
2004,New Hampshire,others,2076
2003,New Hampshire,others,1928
2002,New Hampshire,others,1855
2001,New Hampshire,others,1844
2000,New Hampshire,others,1837
1999,New Hampshire,others,1811
2016,New Jersey,others,20063
2015,New Jersey,others,19555
2014,New Jersey,others,19425
2013,New Jersey,others,19531
2012,New Jersey,others,18894
2011,New Jersey,others,18642
2010,New Jersey,others,17553
2009,New Jersey,others,17979
2008,New Jersey,others,17272
2007,New Jersey,others,17046
2006,New Jersey,others,17060
2005,New Jersey,others,16689
2004,New Jersey,others,16354
2003,New Jersey,others,16215
2002,New Jersey,others,15930
2001,New Jersey,others,16610
2000,New Jersey,others,15547
1999,New Jersey,others,15336
2016,New Mexico,others,5124
2015,New Mexico,others,5032
2014,New Mexico,others,4989
2013,New Mexico,others,4857
2012,New Mexico,others,4870
2011,New Mexico,others,4626
2010,New Mexico,others,4319
2009,New Mexico,others,4272
2008,New Mexico,others,4243
2007,New Mexico,others,3976
2006,New Mexico,others,3893
2005,New Mexico,others,3699
2004,New Mexico,others,3492
2003,New Mexico,others,3479
2002,New Mexico,others,3392
2001,New Mexico,others,3420
2000,New Mexico,others,3224
1999,New Mexico,others,3114
2016,New York,others,38478
2015,New York,others,38176
2014,New York,others,37161
2013,New York,others,36415
2012,New York,others,35353
2011,New York,others,35129
2010,New York,others,33070
2009,New York,others,31906
2008,New York,others,31619
2007,New York,others,30858
2006,New York,others,30652
2005,New York,others,31615
2004,New York,others,30887
2003,New York,others,30653
2002,New York,others,30733
2001,New York,others,31720
2000,New York,others,30308
1999,New York,others,29188
2016,North Carolina,others,24714
2015,North Carolina,others,24201
2014,North Carolina,others,23201
2013,North Carolina,others,22827
2012,North Carolina,others,22537
2011,North Carolina,others,21648
2010,North Carolina,others,20996
2009,North Carolina,others,19980
2008,North Carolina,others,19551
2007,North Carolina,others,18962
2006,North Carolina,others,18411
2005,North Carolina,others,17938
2004,North Carolina,others,17077
2003,North Carolina,others,16850
2002,North Carolina,others,16172
2001,North Carolina,others,15648
2000,North Carolina,others,15413
1999,North Carolina,others,14668
2016,North Dakota,others,1743
2015,North Dakota,others,1568
2014,North Dakota,others,1553
2013,North Dakota,others,1663
2012,North Dakota,others,1546
2011,North Dakota,others,1424
2010,North Dakota,others,1366
2009,North Dakota,others,1312
2008,North Dakota,others,1259
2007,North Dakota,others,1104
2006,North Dakota,others,1155
2005,North Dakota,others,1181
2004,North Dakota,others,1046
2003,North Dakota,others,1191
2002,North Dakota,others,1121
2001,North Dakota,others,1193
2000,North Dakota,others,1119
1999,North Dakota,others,1178
2016,Ohio,others,30897
2015,Ohio,others,30328
2014,Ohio,others,29682
2013,Ohio,others,29954
2012,Ohio,others,29187
2011,Ohio,others,28623
2010,Ohio,others,26809
2009,Ohio,others,27919
2008,Ohio,others,26261
2007,Ohio,others,25088
2006,Ohio,others,24905
2005,Ohio,others,25098
2004,Ohio,others,23678
2003,Ohio,others,24643
2002,Ohio,others,23498
2001,Ohio,others,22492
2000,Ohio,others,22329
1999,Ohio,others,22104
2016,Oklahoma,others,8779
2015,Oklahoma,others,8542
2014,Oklahoma,others,9071
2013,Oklahoma,others,9146
2012,Oklahoma,others,8699
2011,Oklahoma,others,8560
2010,Oklahoma,others,8189
2009,Oklahoma,others,7698
2008,Oklahoma,others,8357
2007,Oklahoma,others,8012
2006,Oklahoma,others,7718
2005,Oklahoma,others,7820
2004,Oklahoma,others,6877
2003,Oklahoma,others,7040
2002,Oklahoma,others,7070
2001,Oklahoma,others,6683
2000,Oklahoma,others,6807
1999,Oklahoma,others,6821
2016,Oregon,others,9956
2015,Oregon,others,10338
2014,Oregon,others,10081
2013,Oregon,others,10116
2012,Oregon,others,9482
2011,Oregon,others,9263
2010,Oregon,others,8870
2009,Oregon,others,8611
2008,Oregon,others,8632
2007,Oregon,others,8172
2006,Oregon,others,8235
2005,Oregon,others,7522
2004,Oregon,others,7046
2003,Oregon,others,7138
2002,Oregon,others,7106
2001,Oregon,others,6947
2000,Oregon,others,6813
1999,Oregon,others,6332
2016,Pennsylvania,others,35876
2015,Pennsylvania,others,35281
2014,Pennsylvania,others,34344
2013,Pennsylvania,others,34789
2012,Pennsylvania,others,33707
2011,Pennsylvania,others,33391
2010,Pennsylvania,others,31616
2009,Pennsylvania,others,30764
2008,Pennsylvania,others,31136
2007,Pennsylvania,others,30523
2006,Pennsylvania,others,30579
2005,Pennsylvania,others,29876
2004,Pennsylvania,others,28541
2003,Pennsylvania,others,28485
2002,Pennsylvania,others,28425
2001,Pennsylvania,others,27933
2000,Pennsylvania,others,26925
1999,Pennsylvania,others,25895
2016,Rhode Island,others,2696
2015,Rhode Island,others,2769
2014,Rhode Island,others,2638
2013,Rhode Island,others,2612
2012,Rhode Island,others,2486
2011,Rhode Island,others,2549
2010,Rhode Island,others,2504
2009,Rhode Island,others,2332
2008,Rhode Island,others,2350
2007,Rhode Island,others,2402
2006,Rhode Island,others,2354
2005,Rhode Island,others,2260
2004,Rhode Island,others,2060
2003,Rhode Island,others,2192
2002,Rhode Island,others,2256
2001,Rhode Island,others,2112
2000,Rhode Island,others,2093
1999,Rhode Island,others,1904
2016,South Carolina,others,12818
2015,South Carolina,others,12635
2014,South Carolina,others,12498
2013,South Carolina,others,12463
2012,South Carolina,others,11864
2011,South Carolina,others,11382
2010,South Carolina,others,11087
2009,South Carolina,others,10435
2008,South Carolina,others,10287
2007,South Carolina,others,10028
2006,South Carolina,others,9743
2005,South Carolina,others,9382
2004,South Carolina,others,8737
2003,South Carolina,others,9096
2002,South Carolina,others,8851
2001,South Carolina,others,8524
2000,South Carolina,others,8384
1999,South Carolina,others,7813
2016,South Dakota,others,1921
2015,South Dakota,others,1858
2014,South Dakota,others,1711
2013,South Dakota,others,1583
2012,South Dakota,others,1658
2011,South Dakota,others,1641
2010,South Dakota,others,1548
2009,South Dakota,others,1465
2008,South Dakota,others,1556
2007,South Dakota,others,1387
2006,South Dakota,others,1536
2005,South Dakota,others,1397
2004,South Dakota,others,1364
2003,South Dakota,others,1462
2002,South Dakota,others,1326
2001,South Dakota,others,1350
2000,South Dakota,others,1259
1999,South Dakota,others,1249
2016,Tennessee,others,16987
2015,Tennessee,others,16266
2014,Tennessee,others,16250
2013,Tennessee,others,16024
2012,Tennessee,others,15777
2011,Tennessee,others,14801
2010,Tennessee,others,13703
2009,Tennessee,others,13411
2008,Tennessee,others,13385
2007,Tennessee,others,12683
2006,Tennessee,others,12444
2005,Tennessee,others,12288
2004,Tennessee,others,11842
2003,Tennessee,others,12253
2002,Tennessee,others,12005
2001,Tennessee,others,11701
2000,Tennessee,others,11255
1999,Tennessee,others,10645
2016,Texas,others,51605
2015,Texas,others,51450
2014,Texas,others,51463
2013,Texas,others,51404
2012,Texas,others,48995
2011,Texas,others,45769
2010,Texas,others,44500
2009,Texas,others,42619
2008,Texas,others,43048
2007,Texas,others,40390
2006,Texas,others,38512
2005,Texas,others,37027
2004,Texas,others,35318
2003,Texas,others,34592
2002,Texas,others,33811
2001,Texas,others,32824
2000,Texas,others,32233
1999,Texas,others,30554
2016,United States,others,285356
2015,United States,others,699613
2014,United States,others,688010
2013,United States,others,686682
2012,United States,others,666691
2011,United States,others,646137
2010,United States,others,616086
2009,United States,others,598662
2008,United States,others,599003
2007,United States,others,577411
2006,United States,others,571588
2005,United States,others,558036
2004,United States,others,533482
2003,United States,others,536173
2002,United States,others,524514
2001,United States,others,517067
2000,United States,others,501157
1999,United States,others,485573
2016,Utah,others,5236
2015,Utah,others,4848
2014,Utah,others,4993
2013,Utah,others,5121
2012,Utah,others,5031
2011,Utah,others,4946
2010,Utah,others,4767
2009,Utah,others,4725
2008,Utah,others,4615
2007,Utah,others,4556
2006,Utah,others,4436
2005,Utah,others,4144
2004,Utah,others,4005
2003,Utah,others,3955
2002,Utah,others,3778
2001,Utah,others,3682
2000,Utah,others,3204
1999,Utah,others,3276
2016,Vermont,others,1530
2015,Vermont,others,1515
2014,Vermont,others,1357
2013,Vermont,others,1509
2012,Vermont,others,1341
2011,Vermont,others,1366
2010,Vermont,others,1313
2009,Vermont,others,1195
2008,Vermont,others,1212
2007,Vermont,others,1191
2006,Vermont,others,1134
2005,Vermont,others,1133
2004,Vermont,others,1084
2003,Vermont,others,1113
2002,Vermont,others,1037
2001,Vermont,others,1070
2000,Vermont,others,1005
1999,Vermont,others,984
2016,Virginia,others,18521
2015,Virginia,others,18065
2014,Virginia,others,17860
2013,Virginia,others,17891
2012,Virginia,others,17329
2011,Virginia,others,16544
2010,Virginia,others,15628
2009,Virginia,others,15236
2008,Virginia,others,15192
2007,Virginia,others,14692
2006,Virginia,others,14154
2005,Virginia,others,13777
2004,Virginia,others,13125
2003,Virginia,others,13516
2002,Virginia,others,13010
2001,Virginia,others,12514
2000,Virginia,others,12116
1999,Virginia,others,11780
2016,Washington,others,14417
2015,Washington,others,14071
2014,Washington,others,13281
2013,Washington,others,13252
2012,Washington,others,12448
2011,Washington,others,11886
2010,Washington,others,11165
2009,Washington,others,10845
2008,Washington,others,10837
2007,Washington,others,10460
2006,Washington,others,10336
2005,Washington,others,9971
2004,Washington,others,9347
2003,Washington,others,9103
2002,Washington,others,8949
2001,Washington,others,8679
2000,Washington,others,8336
1999,Washington,others,8115
2016,West Virginia,others,6051
2015,West Virginia,others,6065
2014,West Virginia,others,5804
2013,West Virginia,others,5806
2012,West Virginia,others,5693
2011,West Virginia,others,5513
2010,West Virginia,others,5313
2009,West Virginia,others,5548
2008,West Virginia,others,5103
2007,West Virginia,others,4981
2006,West Virginia,others,4797
2005,West Virginia,others,4759
2004,West Virginia,others,4370
2003,West Virginia,others,4364
2002,West Virginia,others,4315
2001,West Virginia,others,4218
2000,West Virginia,others,4269
1999,West Virginia,others,3966
2016,Wisconsin,others,13539
2015,Wisconsin,others,13304
2014,Wisconsin,others,13405
2013,Wisconsin,others,13021
2012,Wisconsin,others,12303
2011,Wisconsin,others,11973
2010,Wisconsin,others,11526
2009,Wisconsin,others,11168
2008,Wisconsin,others,11022
2007,Wisconsin,others,10865
2006,Wisconsin,others,10616
2005,Wisconsin,others,10396
2004,Wisconsin,others,9687
2003,Wisconsin,others,9763
2002,Wisconsin,others,9675
2001,Wisconsin,others,9423
2000,Wisconsin,others,9064
1999,Wisconsin,others,8858
2016,Wyoming,others,1244
2015,Wyoming,others,1222
2014,Wyoming,others,1233
2013,Wyoming,others,1194
2012,Wyoming,others,1120
2011,Wyoming,others,1073
2010,Wyoming,others,1018
2009,Wyoming,others,971
2008,Wyoming,others,962
2007,Wyoming,others,1035
2006,Wyoming,others,974
2005,Wyoming,others,932
2004,Wyoming,others,908
2003,Wyoming,others,859
2002,Wyoming,others,904
2001,Wyoming,others,836
2000,Wyoming,others,805
1999,Wyoming,others,777
2016,Alabama,Alzheimer's disease,2507
2015,Alabama,Alzheimer's disease,2282
2014,Alabama,Alzheimer's disease,1885
2013,Alabama,Alzheimer's disease,1398
2012,Alabama,Alzheimer's disease,1390
2011,Alabama,Alzheimer's disease,1486
2010,Alabama,Alzheimer's disease,1523
2009,Alabama,Alzheimer's disease,1521
2008,Alabama,Alzheimer's disease,1518
2007,Alabama,Alzheimer's disease,1517
2006,Alabama,Alzheimer's disease,1497
2005,Alabama,Alzheimer's disease,1501
2004,Alabama,Alzheimer's disease,1385
2003,Alabama,Alzheimer's disease,1268
2002,Alabama,Alzheimer's disease,1189
2001,Alabama,Alzheimer's disease,1103
2000,Alabama,Alzheimer's disease,895
1999,Alabama,Alzheimer's disease,772
2016,Alaska,Alzheimer's disease,111
2015,Alaska,Alzheimer's disease,68
2014,Alaska,Alzheimer's disease,68
2013,Alaska,Alzheimer's disease,72
